Time,Total,Time [local],Time [utc]
1617332400000,983780,4/1/2021 20:00:00,4/2/2021 03:00:00
1617332700000,955289,4/1/2021 20:05:00,4/2/2021 03:05:00
1617333000000,860556,4/1/2021 20:10:00,4/2/2021 03:10:00
1617333300000,860608,4/1/2021 20:15:00,4/2/2021 03:15:00
1617333600000,792392,4/1/2021 20:20:00,4/2/2021 03:20:00
1617333900000,794068,4/1/2021 20:25:00,4/2/2021 03:25:00
1617334200000,800275,4/1/2021 20:30:00,4/2/2021 03:30:00
1617334500000,763944,4/1/2021 20:35:00,4/2/2021 03:35:00
1617334800000,796212,4/1/2021 20:40:00,4/2/2021 03:40:00
1617335100000,1780622,4/1/2021 20:45:00,4/2/2021 03:45:00
1617335400000,3133501,4/1/2021 20:50:00,4/2/2021 03:50:00
1617335700000,3149951,4/1/2021 20:55:00,4/2/2021 03:55:00
1617336000000,2696632,4/1/2021 21:00:00,4/2/2021 04:00:00
1617336300000,2420347,4/1/2021 21:05:00,4/2/2021 04:05:00
1617336600000,2251162,4/1/2021 21:10:00,4/2/2021 04:10:00
1617336900000,2050520,4/1/2021 21:15:00,4/2/2021 04:15:00
1617337200000,2066684,4/1/2021 21:20:00,4/2/2021 04:20:00
1617337500000,2027319,4/1/2021 21:25:00,4/2/2021 04:25:00
1617337800000,1942502,4/1/2021 21:30:00,4/2/2021 04:30:00
1617338100000,1894501,4/1/2021 21:35:00,4/2/2021 04:35:00
1617338400000,1840010,4/1/2021 21:40:00,4/2/2021 04:40:00
1617338700000,1814859,4/1/2021 21:45:00,4/2/2021 04:45:00
1617339000000,1717566,4/1/2021 21:50:00,4/2/2021 04:50:00
1617339300000,1623133,4/1/2021 21:55:00,4/2/2021 04:55:00
1617339600000,1635820,4/1/2021 22:00:00,4/2/2021 05:00:00
1617339900000,1527917,4/1/2021 22:05:00,4/2/2021 05:05:00
1617340200000,1575920,4/1/2021 22:10:00,4/2/2021 05:10:00
1617340500000,1626722,4/1/2021 22:15:00,4/2/2021 05:15:00
1617340800000,1757153,4/1/2021 22:20:00,4/2/2021 05:20:00
1617341100000,1824473,4/1/2021 22:25:00,4/2/2021 05:25:00
1617341400000,1986959,4/1/2021 22:30:00,4/2/2021 05:30:00
1617341700000,2125238,4/1/2021 22:35:00,4/2/2021 05:35:00
1617342000000,2111216,4/1/2021 22:40:00,4/2/2021 05:40:00
1617342300000,2157931,4/1/2021 22:45:00,4/2/2021 05:45:00
1617342600000,2174299,4/1/2021 22:50:00,4/2/2021 05:50:00
1617342900000,2263204,4/1/2021 22:55:00,4/2/2021 05:55:00
1617343200000,2298855,4/1/2021 23:00:00,4/2/2021 06:00:00
1617343500000,2471942,4/1/2021 23:05:00,4/2/2021 06:05:00
1617343800000,2566685,4/1/2021 23:10:00,4/2/2021 06:10:00
1617344100000,2477962,4/1/2021 23:15:00,4/2/2021 06:15:00
1617344400000,2520317,4/1/2021 23:20:00,4/2/2021 06:20:00
1617344700000,2649356,4/1/2021 23:25:00,4/2/2021 06:25:00
1617345000000,2607164,4/1/2021 23:30:00,4/2/2021 06:30:00
1617345300000,2585573,4/1/2021 23:35:00,4/2/2021 06:35:00
